NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP	GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP		200	-0.47231048	-1.4563577	0.04859813	0.12575051	0.321	13134	tags=52%, list=31%, signal=76%	
GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP		200	-0.4570522	-1.456314	0.03723404	0.12564221	0.321	15107	tags=55%, list=36%, signal=85%	
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP	GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY40_UP		200	-0.4607945	-1.4562565	0.036968578	0.12556966	0.322	12174	tags=45%, list=29%, signal=63%	
GSE8515_IL1_VS_IL6_4H_STIM_MAC_DN	GSE8515_IL1_VS_IL6_4H_STIM_MAC_DN		194	-0.4565956	-1.4561878	0.025316456	0.12552246	0.322	8652	tags=39%, list=20%, signal=48%	
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_DN		199	-0.44461793	-1.4561464	0.021201413	0.12541498	0.322	14745	tags=52%, list=35%, signal=79%	
GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_DN	GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_DN		199	-0.460961	-1.4560939	0.036968578	0.12534338	0.322	13429	tags=48%, list=32%, signal=70%	
GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN	GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN		200	-0.4548036	-1.4560739	0.025454545	0.12520392	0.322	11755	tags=46%, list=28%, signal=63%	
GSE7460_TREG_VS_TCONV_ACT_DN	GSE7460_TREG_VS_TCONV_ACT_DN		197	-0.4532578	-1.4559824	0.041742288	0.12519918	0.322	11626	tags=46%, list=27%, signal=63%	
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN	GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN		198	-0.4453754	-1.4557394	0.030141843	0.12549058	0.322	15161	tags=57%, list=36%, signal=88%	
GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_UP	GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_UP		200	-0.46785712	-1.4556831	0.042124543	0.12541154	0.322	13621	tags=52%, list=32%, signal=77%	
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN		199	-0.4711853	-1.4556358	0.035849057	0.1253266	0.322	12552	tags=51%, list=30%, signal=72%	
GSE27786_BCELL_VS_CD4_TCELL_DN	GSE27786_BCELL_VS_CD4_TCELL_DN		198	-0.46422935	-1.4555967	0.018832391	0.12523729	0.322	12307	tags=45%, list=29%, signal=63%	
GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_DN	GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_DN		196	-0.46263736	-1.4555439	0.014705882	0.12514977	0.322	13274	tags=47%, list=31%, signal=69%	
GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP		199	-0.45308536	-1.4554234	0.018181818	0.12518957	0.323	9988	tags=40%, list=24%, signal=52%	
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_UP	GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_UP		200	-0.4557893	-1.455212	0.031307552	0.12538214	0.323	12220	tags=45%, list=29%, signal=62%	
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN	GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN		198	-0.45528212	-1.4551741	0.04537205	0.12527339	0.323	14579	tags=55%, list=34%, signal=84%	
GSE22886_NAIVE_CD4_TCELL_VS_MEMORY_TCELL_UP	GSE22886_NAIVE_CD4_TCELL_VS_MEMORY_TCELL_UP		194	-0.46092147	-1.4551622	0.04990758	0.1251314	0.323	13334	tags=49%, list=31%, signal=72%	
GSE27786_CD8_TCELL_VS_MONO_MAC_DN	GSE27786_CD8_TCELL_VS_MONO_MAC_DN		200	-0.45751354	-1.4551454	0.03018868	0.12498832	0.323	12531	tags=50%, list=30%, signal=70%	
GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP	GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP		198	-0.44595417	-1.4550482	0.034358047	0.12498712	0.324	9219	tags=34%, list=22%, signal=44%	
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP	GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP		193	-0.4567315	-1.4549161	0.03564728	0.12506025	0.324	7487	tags=34%, list=18%, signal=41%	
GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_UP	GSE22229_UNTREATED_VS_IMMUNOSUPP_THERAPY_RENAL_TRANSPLANT_PATIENT_PBMC_UP		199	-0.46155214	-1.4548513	0.04	0.12501945	0.324	12798	tags=48%, list=30%, signal=69%	
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_DN	GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_DN		170	-0.45470774	-1.454781	0.02189781	0.12496813	0.324	11633	tags=45%, list=27%, signal=61%	
GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP	GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP		197	-0.465911	-1.4546818	0.048327137	0.12498197	0.324	9898	tags=41%, list=23%, signal=53%	
GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN	GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN		200	-0.46561128	-1.4546733	0.051330797	0.124819115	0.324	14223	tags=54%, list=34%, signal=80%	
GSE24574_BCL6_HIGH_TFH_VS_TCONV_CD4_TCELL_DN	GSE24574_BCL6_HIGH_TFH_VS_TCONV_CD4_TCELL_DN		197	-0.4603903	-1.4546236	0.051039696	0.12472455	0.324	15331	tags=56%, list=36%, signal=88%	
GSE22432_MULTIPOTENT_PROGENITOR_VS_CDC_UP	GSE22432_MULTIPOTENT_PROGENITOR_VS_CDC_UP		199	-0.44574967	-1.4546024	0.028419184	0.12458658	0.324	14951	tags=52%, list=35%, signal=80%	
GSE40274_CTRL_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	GSE40274_CTRL_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN		160	-0.46151072	-1.4545814	0.03107861	0.12444598	0.324	10535	tags=40%, list=25%, signal=53%	
GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP	GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP		147	-0.46075428	-1.4544778	0.016304348	0.12446645	0.324	16489	tags=61%, list=39%, signal=100%	
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP	GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP		199	-0.4480522	-1.4543756	0.028880866	0.12447493	0.324	13054	tags=49%, list=31%, signal=70%	
GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_DN	GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_DN		200	-0.45566875	-1.4543738	0.06	0.1243081	0.324	14191	tags=54%, list=33%, signal=80%	
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4HIGH_BCELL_UP	GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4HIGH_BCELL_UP		200	-0.4466679	-1.454332	0.027422303	0.12422249	0.324	11148	tags=40%, list=26%, signal=54%	
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP	GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP		195	-0.45691296	-1.4541632	0.051971328	0.12438053	0.324	14191	tags=52%, list=33%, signal=78%	
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN		199	-0.45798647	-1.4540855	0.045028143	0.12434431	0.324	11098	tags=42%, list=26%, signal=57%	
GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN	GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_DN		167	-0.46345973	-1.4540495	0.025316456	0.12423068	0.324	10381	tags=43%, list=24%, signal=56%	
GSE40666_WT_VS_STAT1_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN	GSE40666_WT_VS_STAT1_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN		200	-0.4627958	-1.4539849	0.022058824	0.12419328	0.324	7194	tags=32%, list=17%, signal=38%	
GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN	GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_DN		200	-0.44389728	-1.4538908	0.033274956	0.124196045	0.324	14255	tags=51%, list=34%, signal=76%	
GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP	GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP		200	-0.45548797	-1.453884	0.026871402	0.124037124	0.324	14705	tags=55%, list=35%, signal=83%	
GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_2H_DN	GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_2H_DN		199	-0.4617013	-1.4537619	0.038321167	0.12408601	0.324	13533	tags=50%, list=32%, signal=73%	
GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_6H_DN	GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_6H_DN		198	-0.45246723	-1.4537411	0.028070176	0.12395724	0.324	12372	tags=48%, list=29%, signal=68%	
GSE11924_TH2_VS_TH17_CD4_TCELL_DN	GSE11924_TH2_VS_TH17_CD4_TCELL_DN		200	-0.45371315	-1.4534147	0.03846154	0.12437999	0.325	13430	tags=47%, list=32%, signal=68%	
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_UP	GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_UP		197	-0.4588349	-1.4533663	0.04743833	0.12430283	0.325	12845	tags=47%, list=30%, signal=67%	
GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN	GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN		200	-0.47921973	-1.4533464	0.07450981	0.124171324	0.325	14575	tags=58%, list=34%, signal=88%	
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN		193	-0.44659594	-1.4533029	0.023809524	0.124124065	0.325	9913	tags=38%, list=23%, signal=50%	
GSE25147_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_MKN45_CELL_DN	GSE25147_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_MKN45_CELL_DN		167	-0.44991633	-1.4531764	0.020446097	0.12418863	0.325	10938	tags=42%, list=26%, signal=56%	
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP	GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP		191	-0.4573965	-1.4530932	0.019748654	0.12419284	0.325	13547	tags=51%, list=32%, signal=75%	
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN	GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN		184	-0.45216215	-1.4528997	0.017391304	0.12437728	0.325	13753	tags=48%, list=32%, signal=70%	
GSE3982_NEUTROPHIL_VS_BCELL_DN	GSE3982_NEUTROPHIL_VS_BCELL_DN		198	-0.4502134	-1.4528689	0.030909091	0.12426708	0.325	13795	tags=49%, list=33%, signal=73%	
GSE17721_POLYIC_VS_PAM3CSK4_12H_BMDC_DN	GSE17721_POLYIC_VS_PAM3CSK4_12H_BMDC_DN		200	-0.44324946	-1.4528561	0.023131672	0.12412502	0.325	10647	tags=38%, list=25%, signal=51%	
GSE8921_3H_VS_24H_TLR1_2_STIM_MONOCYTE_DN	GSE8921_3H_VS_24H_TLR1_2_STIM_MONOCYTE_DN		200	-0.44858122	-1.4528491	0.04204753	0.12397458	0.325	10670	tags=43%, list=25%, signal=57%	
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	GSE12366_GC_BCELL_VS_PLASMA_CELL_UP		197	-0.46090296	-1.4528253	0.02793296	0.12385365	0.325	10757	tags=43%, list=25%, signal=58%	
GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP	GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP		200	-0.4484907	-1.45281	0.03057554	0.12372868	0.325	11612	tags=43%, list=27%, signal=59%	
GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN	GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_DN		190	-0.43853632	-1.4527355	0.020689655	0.123720385	0.325	10610	tags=39%, list=25%, signal=52%	
GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN	GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN		170	-0.45476717	-1.4526737	0.02389706	0.12369035	0.325	11871	tags=45%, list=28%, signal=62%	
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN		200	-0.45136216	-1.4525801	0.030852994	0.12372417	0.325	14957	tags=52%, list=35%, signal=79%	
GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN	GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN		195	-0.45645905	-1.4525702	0.01814882	0.12358122	0.325	12295	tags=48%, list=29%, signal=68%	
GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP	GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP		196	-0.462215	-1.4525019	0.05762082	0.12353562	0.325	15647	tags=58%, list=37%, signal=92%	
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP		199	-0.45569396	-1.4524186	0.060998153	0.12353629	0.325	13054	tags=50%, list=31%, signal=72%	
GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA2_STIM_CD8_TCELL_UP	GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA2_STIM_CD8_TCELL_UP		199	-0.44604832	-1.4521015	0.038251366	0.12392069	0.325	15496	tags=55%, list=37%, signal=87%	
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_UP	GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_UP		197	-0.4510511	-1.4520863	0.036101084	0.12378829	0.325	14779	tags=54%, list=35%, signal=82%	
GSE17721_CTRL_VS_CPG_4H_BMDC_DN	GSE17721_CTRL_VS_CPG_4H_BMDC_DN		200	-0.45303488	-1.4520618	0.012589928	0.12366201	0.325	14445	tags=52%, list=34%, signal=79%	
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN		196	-0.4561962	-1.4519726	0.03358209	0.123646736	0.325	13179	tags=48%, list=31%, signal=69%	
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP		200	-0.45534146	-1.4517756	0.032906763	0.12383955	0.325	12142	tags=48%, list=29%, signal=67%	
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_12H_DN	GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_12H_DN		200	-0.4571482	-1.4517214	0.035185184	0.12376529	0.325	13572	tags=52%, list=32%, signal=76%	
GSE25087_FETAL_VS_ADULT_TREG_UP	GSE25087_FETAL_VS_ADULT_TREG_UP		198	-0.4533335	-1.4515439	0.03057554	0.12391882	0.325	9767	tags=38%, list=23%, signal=49%	
GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP	GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP		193	-0.4434173	-1.4514978	0.016014235	0.12384894	0.325	12659	tags=45%, list=30%, signal=63%	
GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP	GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP		199	-0.45541373	-1.4513927	0.029143898	0.12388628	0.325	11579	tags=43%, list=27%, signal=59%	
GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP	GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP		200	-0.46758765	-1.4513795	0.0455408	0.12374391	0.325	13621	tags=52%, list=32%, signal=76%	
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP		200	-0.44761512	-1.4512523	0.03107861	0.123809814	0.325	14568	tags=48%, list=34%, signal=73%	
GSE30083_SP2_VS_SP3_THYMOCYTE_DN	GSE30083_SP2_VS_SP3_THYMOCYTE_DN		200	-0.4499555	-1.4512205	0.03411131	0.12370772	0.325	12338	tags=47%, list=29%, signal=65%	
GSE3982_EOSINOPHIL_VS_BASOPHIL_UP	GSE3982_EOSINOPHIL_VS_BASOPHIL_UP		196	-0.4615994	-1.4512086	0.03710575	0.12357184	0.325	13129	tags=51%, list=31%, signal=73%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		161	-0.4576757	-1.4512018	0.029038113	0.12342353	0.325	12583	tags=46%, list=30%, signal=65%	
GSE2706_UNSTIM_VS_2H_R848_DC_DN	GSE2706_UNSTIM_VS_2H_R848_DC_DN		194	-0.4528299	-1.4511714	0.025179856	0.123311006	0.325	6400	tags=29%, list=15%, signal=34%	
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN		199	-0.4467566	-1.4510818	0.044444446	0.123303495	0.325	10927	tags=41%, list=26%, signal=55%	
GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_UP	GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_UP		200	-0.45978346	-1.4509301	0.033027522	0.12340476	0.325	15959	tags=61%, list=38%, signal=97%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN		179	-0.44519612	-1.4508933	0.03723404	0.12330685	0.325	12623	tags=47%, list=30%, signal=67%	
GSE37301_MULTIPOTENT_PROGENITOR_VS_CD4_TCELL_DN	GSE37301_MULTIPOTENT_PROGENITOR_VS_CD4_TCELL_DN		200	-0.44067517	-1.4507765	0.014336918	0.1233557	0.326	13314	tags=48%, list=31%, signal=70%	
GSE17721_CTRL_VS_POLYIC_2H_BMDC_UP	GSE17721_CTRL_VS_POLYIC_2H_BMDC_UP		199	-0.45069346	-1.4507295	0.032846715	0.12327639	0.326	14061	tags=51%, list=33%, signal=76%	
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN	GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN		177	-0.45867372	-1.450703	0.04283054	0.12316915	0.326	14167	tags=51%, list=33%, signal=76%	
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_UP	GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_UP		196	-0.45842388	-1.450566	0.046296295	0.12326157	0.327	14982	tags=54%, list=35%, signal=83%	
GSE4984_GALECTIN1_VS_VEHICLE_CTRL_TREATED_DC_DN	GSE4984_GALECTIN1_VS_VEHICLE_CTRL_TREATED_DC_DN		199	-0.4559939	-1.450502	0.036697246	0.123212114	0.328	9257	tags=37%, list=22%, signal=47%	
GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_DN	GSE3982_BASOPHIL_VS_CENT_MEMORY_CD4_TCELL_DN		200	-0.45077783	-1.4502184	0.04710145	0.12359684	0.328	10012	tags=40%, list=24%, signal=52%	
GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_UP	GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_UP		196	-0.4508295	-1.4500604	0.05272727	0.12373305	0.328	14149	tags=52%, list=33%, signal=77%	
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP		195	-0.4546497	-1.450045	0.03314917	0.123595215	0.328	13016	tags=49%, list=31%, signal=70%	
GSE8515_CTRL_VS_IL6_4H_STIM_MAC_UP	GSE8515_CTRL_VS_IL6_4H_STIM_MAC_UP		200	-0.44920376	-1.4500093	0.02636204	0.12351069	0.328	13447	tags=49%, list=32%, signal=71%	
GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_UP	GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_UP		200	-0.4614703	-1.4498793	0.037383176	0.1236005	0.328	16092	tags=61%, list=38%, signal=97%	
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP		200	-0.4488663	-1.4498559	0.037567083	0.12348142	0.328	12630	tags=49%, list=30%, signal=69%	
GSE3982_BCELL_VS_TH2_UP	GSE3982_BCELL_VS_TH2_UP		197	-0.44841427	-1.4496232	0.03119266	0.123766996	0.328	15560	tags=56%, list=37%, signal=88%	
GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDC_UP	GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDC_UP		200	-0.44828436	-1.4495548	0.05272727	0.12373402	0.328	11098	tags=44%, list=26%, signal=59%	
GSE12839_CTRL_VS_IL12_TREATED_PBMC_DN	GSE12839_CTRL_VS_IL12_TREATED_PBMC_DN		127	-0.469759	-1.4494526	0.044280443	0.123741314	0.328	14463	tags=50%, list=34%, signal=76%	
GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP	GSE17721_CTRL_VS_PAM3CSK4_1H_BMDC_UP		199	-0.4460063	-1.449276	0.036036037	0.123889826	0.328	13366	tags=47%, list=32%, signal=69%	
GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP	GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP		199	-0.45027104	-1.4490626	0.026785715	0.124123685	0.328	12743	tags=47%, list=30%, signal=67%	
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_AND_ROSIGLITAZONE_STIM_UP	GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_AND_ROSIGLITAZONE_STIM_UP		196	-0.45604652	-1.4489548	0.04779412	0.12420232	0.328	10405	tags=41%, list=25%, signal=55%	
GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP	GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP		199	-0.45359388	-1.4488796	0.040366974	0.124188304	0.328	12581	tags=49%, list=30%, signal=69%	
GSE2585_CTEC_VS_THYMIC_DC_UP	GSE2585_CTEC_VS_THYMIC_DC_UP		200	-0.4568122	-1.4487336	0.017857144	0.12428042	0.328	14469	tags=54%, list=34%, signal=81%	
GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN	GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN		200	-0.45260397	-1.4487307	0.032490976	0.124126084	0.328	13016	tags=50%, list=31%, signal=72%	
GSE14415_NATURAL_TREG_VS_FOXP3_KO_NATURAL_TREG_DN	GSE14415_NATURAL_TREG_VS_FOXP3_KO_NATURAL_TREG_DN		164	-0.45012367	-1.4486907	0.02513465	0.12403942	0.328	14694	tags=52%, list=35%, signal=80%	
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP		200	-0.45317867	-1.44852	0.030797102	0.124187626	0.328	13278	tags=52%, list=31%, signal=75%	
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_12H_DN	GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_12H_DN		192	-0.44031495	-1.4484797	0.011029412	0.12408876	0.328	9597	tags=40%, list=23%, signal=51%	
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN	GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN		199	-0.44907635	-1.4484131	0.017761989	0.1240367	0.328	14651	tags=55%, list=35%, signal=83%	
GSE17721_0.5H_VS_24H_CPG_BMDC_DN	GSE17721_0.5H_VS_24H_CPG_BMDC_DN		200	-0.45402867	-1.4483367	0.02688172	0.12402027	0.328	15260	tags=55%, list=36%, signal=86%	
GSE36078_WT_VS_IL1R_KO_LUNG_DC_UP	GSE36078_WT_VS_IL1R_KO_LUNG_DC_UP		200	-0.44473732	-1.4483243	0.04195804	0.12388376	0.328	14313	tags=52%, list=34%, signal=78%	
GSE14308_TH17_VS_INDUCED_TREG_DN	GSE14308_TH17_VS_INDUCED_TREG_DN		200	-0.44902158	-1.4481828	0.046511628	0.123976715	0.328	14972	tags=56%, list=35%, signal=86%	
GSE17721_LPS_VS_CPG_6H_BMDC_UP	GSE17721_LPS_VS_CPG_6H_BMDC_UP		200	-0.45429814	-1.4481746	0.032549728	0.12383651	0.328	13016	tags=49%, list=31%, signal=70%	
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP		196	-0.45070565	-1.4481171	0.034358047	0.12378245	0.329	13680	tags=49%, list=32%, signal=72%	
